Matrícula,Nome,Sindicato,Dias Úteis,Valor do VR,Valor Total,Valor Empresa (80%),Valor Descontado (20%),Status
35452,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35408,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35409,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35430,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35476,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35481,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35758,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35433,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35445,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35447,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35448,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35456,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35457,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35759,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
25975,COORDENADOR DE BPO,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31818,COORDENADOR DE BPO,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32255,COORDENADOR DE BPO,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31170,COORDENADOR DE BPO,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
30652,LIDER DE BPO,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31085,LIDER DE BPO,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33583,LIDER DE BPO,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
30209,LIDER DE BPO,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33325,LIDER DE BPO,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33506,LIDER DE BPO,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
29384,ASSISTENTE DE BPO II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33386,ASSISTENTE DE BPO II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33436,ASSISTENTE DE BPO III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32217,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34639,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34696,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34698,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34699,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33761,LIDER DE BPO,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31786,ASSISTENTE DE BPO II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31754,ASSISTENTE DE BPO III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31793,ASSISTENTE DE BPO III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34874,ESPECIALISTA DE PRE-VENDAS I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35226,ANALISTA DE DADOS II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35120,ENGENHEIRO DE DADOS I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34229,ENGENHEIRO DE DADOS II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35702,AGILE MASTER,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35740,AGILE MASTER,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35727,ENGENHEIRO DE DADOS II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33270,ENGENHEIRO DE DADOS III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
25203,GERENTE DE OPERACOES I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33235,ANALISTA DE QUALIDADE DE SOFTWARE I,Rio Grande do Sul,0,35.0,0.0,0.0,0.0,Não Elegível (Desligado/Afastado/Férias)
31678,DESENVOLVEDOR I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32915,ANALISTA DE SUPORTE I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32923,ANALISTA DE SUPORTE I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35599,TECH RECRUITER II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35718,TECH RECRUITER II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32407,DESENVOLVEDOR III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32351,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34442,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34558,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31162,LIDER DE BPO,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34546,ASSISTENTE DE BPO II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34608,ASSISTENTE DE BPO II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33301,ASSISTENTE DE BPO III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34010,GERENTE DE OPERACOES I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35427,PRODUCT OWNER III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35731,DESIGNER UX/UI II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35459,ANALISTA DE SISTEMAS E NEGOCIOS III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
33318,ANALISTA DE SUPORTE I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35218,ANALISTA DE SUPORTE I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31003,ANALISTA DE SUPORTE II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
26434,ANALISTA ADMINISTRATIVO II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
31030,DESENVOLVEDOR I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34667,DESENVOLVEDOR I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34691,DESENVOLVEDOR I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34042,ANALISTA DE PROCESSOS III,Rio Grande do Sul,0,35.0,0.0,0.0,0.0,Não Elegível (Desligado/Afastado/Férias)
34302,ANALISTA DE QUALIDADE DE SOFTWARE II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35156,ANALISTA DE QUALIDADE DE SOFTWARE III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
26997,ANALISTA DE QUALIDADE DE SOFTWARE III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
30187,ENTERPRISE AGILE COACH,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35697,DESENVOLVEDOR III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35706,DESENVOLVEDOR III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35732,DESENVOLVEDOR III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35786,DESENVOLVEDOR III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35652,DESENVOLVEDOR III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35667,DESENVOLVEDOR III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35747,DESENVOLVEDOR III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35403,AGILE MASTER,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35764,ARQUITETO DE SOLUCOES III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35703,ANALISTA DE DADOS III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35704,ENGENHEIRO DE DADOS ESPECIALISTA II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35684,ENGENHEIRO DE DADOS III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
32059,GERENTE DE PROJETOS I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35656,ARQUITETO CORPORATIVO III,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35748,ARQUITETO DE DADOS II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35094,CONSULTOR FUNCIONAL SAP II,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
26561,CONSULTOR FUNCIONAL SAP I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34969,DESENVOLVEDOR I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
34678,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35530,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35535,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35629,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
35358,ASSISTENTE DE BPO I,Rio Grande do Sul,21,35.0,735.0,588.0,147.0,Elegível
